id,day,month,year,date,location,OSGridRef,latitude,longitude,Nation,comments
1,,march-may,1442,march-may-1442,Rouen,,49.442778,1.088611,France,?born Rouen
2,17,May,1443,17-5-1443,Rouen,,49.442778,1.088611,France,"(brother, Edmund, born there)"
3,,,1444,1444,,,,,,N/A
4,21,Sep,1445,21-9-1445,Rouen,,49.442778,1.088611,France,"(sister, Elizabeth, born there)"
5,18,April,1445,18-4-1445,Rouen,,49.442778,1.088611,France,(planned marriage letter from father to Charles VII)
6,,May,1445,5-1445,,,,,,N/A
7,10,June,1445,10-6-1445,Rouen,,49.442778,1.088611,France,(planned marriage letter from father to Charles VII)
8,,July,1445,7-1445,Rouen,,49.442778,1.088611,France,N/A
9,,Aug,1445,8-1445,Rouen,,49.442778,1.088611,France,N/A
10,,Sep,1445,9-1445,Rouen,,49.442778,1.088611,France,N/A
11,20,Oct,1445,20-10-1445,York,SE6030051700,53.957883,-1.0825156,England,Family returned to England from France
12,3,May,1446,3-5-1446,Waltham Abbey,TL 38386 00321,51.6846,0.0004,England,"England (sister, Margaret, born Waltham Abbey, Essex)"
13,21,Oct,1449,21-10-1449,Dublin,,53.349722,-6.260278,Republic of Ireland,?Ireland (brother George born Dublin)
14,,Sep,1450,9-1450,Ludlow,SO5121074682,52.368,-2.718,England,York family returned to England. Edward (8) and Edmund (7) established at Ludlow?
15,11,Oct,1450,11-10-1450,Walsingham,TF9340036800,52.89385,0.87357,England,(?) Duke of York’s Pilgrimage to Walsingham
16,,,1451,1451,Ludlow Castle,SO5086974596,52.3672,-2.723,England,based in Ludlow Castle?
17,,,1451,1451,Ludlow,SO5121074682,52.368,-2.718,England,Welsh border (Ludlow?) & said to be marching on London
18,,,1452,1452,Ludlow,SO5121074682,52.368,-2.718,England,Welsh border (Ludlow?) & said to be marching on London
19,,,1452,1452,Ludlow Castle,SO5086974596,52.3672,-2.723,England,based in Ludlow Castle?
20,,,1453,1453,Ludlow Castle,SO5086974596,52.3672,-2.723,England,based in Ludlow Castle?
21,25,Jan,1454,25-1-1454,London,TQ3248081340,51.515457,-0.092140265,England,coming to London in evening with father
22,27,April,1454,27-4-1454,Ludlow Castle,SO5086974596,52.3672,-2.723,England,Ludlow Castle with brother Edmund
